id,full_name,url,stars,forks,commit,openIssue,closedIssue,collaborators,ML_usage
114747226,deepfakes/faceswap,https://api.github.com/repos/deepfakes/faceswap,40299,11494,1411,22,710,75,TRUE
159249114,tensorflow/addons,https://api.github.com/repos/tensorflow/addons,1443,538,1438,179,705,176,TRUE
45596393,odlgroup/odl,https://api.github.com/repos/odlgroup/odl,230,94,4928,222,688,20,TRUE
107937815,aws/amazon-sagemaker-examples,https://api.github.com/repos/aws/amazon-sagemaker-examples,6515,4901,2214,516,683,357,TRUE
94460704,tensorflow/tensor2tensor,https://api.github.com/repos/tensorflow/tensor2tensor,11986,3030,4362,562,669,214,TRUE
125098252,onnx/tensorflow-onnx,https://api.github.com/repos/onnx/tensorflow-onnx,1349,310,2649,75,667,64,TRUE
110621895,aws/sagemaker-python-sdk,https://api.github.com/repos/aws/sagemaker-python-sdk,1563,742,2350,310,650,236,TRUE
24528468,vaexio/vaex,https://api.github.com/repos/vaexio/vaex,6905,536,3424,289,641,56,TRUE
108053674,tensorflow/probability,https://api.github.com/repos/tensorflow/probability,3589,964,11290,485,640,365,TRUE
124853261,tensorflow/hub,https://api.github.com/repos/tensorflow/hub,3037,1624,1028,13,624,77,TRUE
49643229,GPflow/GPflow,https://api.github.com/repos/GPflow/GPflow,1586,415,2274,102,624,67,TRUE
148221325,tensorflow/datasets,https://api.github.com/repos/tensorflow/datasets,3151,1201,4651,314,615,224,TRUE
51620087,davidsandberg/facenet,https://api.github.com/repos/davidsandberg/facenet,12284,4704,566,483,615,27,TRUE
138826968,XiaoMi/mace,https://api.github.com/repos/XiaoMi/mace,4568,789,3328,43,612,48,TRUE
249107601,TensorSpeech/TensorFlowTTS,https://api.github.com/repos/TensorSpeech/TensorFlowTTS,2486,557,769,21,609,30,TRUE
74505259,slundberg/shap,https://api.github.com/repos/slundberg/shap,15424,2329,2011,1257,571,125,TRUE
58157629,magenta/magenta,https://api.github.com/repos/magenta/magenta,17402,3579,1397,295,570,139,TRUE
182067506,kedro-org/kedro,https://api.github.com/repos/kedro-org/kedro,6456,606,1434,44,565,131,TRUE
125381318,Trusted-AI/adversarial-robustness-toolbox,https://api.github.com/repos/Trusted-AI/adversarial-robustness-toolbox,2777,776,9414,76,560,73,TRUE
95862535,apple/coremltools,https://api.github.com/repos/apple/coremltools,2545,399,911,316,549,94,TRUE
104670986,JohnSnowLabs/spark-nlp,https://api.github.com/repos/JohnSnowLabs/spark-nlp,2610,534,14014,71,541,86,TRUE
106987831,hacktoberfest17/programming,https://api.github.com/repos/hacktoberfest17/programming,286,784,1211,271,537,347,TRUE
149430917,microsoft/recommenders,https://api.github.com/repos/microsoft/recommenders,12186,2116,7343,123,532,78,TRUE
135230742,MaybeShewill-CV/lanenet-lane-detection,https://api.github.com/repos/MaybeShewill-CV/lanenet-lane-detection,1725,779,174,8,509,5,TRUE
111113343,deepmipt/DeepPavlov,https://api.github.com/repos/deepmipt/DeepPavlov,5592,1005,2611,101,503,63,TRUE
40307735,flatironinstitute/CaImAn,https://api.github.com/repos/flatironinstitute/CaImAn,441,294,3858,16,494,47,TRUE
178976529,bentoml/BentoML,https://api.github.com/repos/bentoml/BentoML,3191,374,1525,48,492,97,TRUE
169116405,tensorflow/tfx,https://api.github.com/repos/tensorflow/tfx,1695,542,4093,234,489,115,TRUE
170580540,pyro-ppl/numpyro,https://api.github.com/repos/pyro-ppl/numpyro,1289,130,960,34,479,55,TRUE
247295191,open-mmlab/OpenPCDet,https://api.github.com/repos/open-mmlab/OpenPCDet,2337,738,303,215,473,21,TRUE
129936360,PennyLaneAI/pennylane,https://api.github.com/repos/PennyLaneAI/pennylane,1156,345,2349,103,468,85,TRUE
65791375,thtrieu/darkflow,https://api.github.com/repos/thtrieu/darkflow,5958,2101,543,599,467,26,TRUE
91573538,testerSunshine/12306,https://api.github.com/repos/testerSunshine/12306,30563,9490,435,209,464,21,TRUE
131881622,NVIDIA/DeepLearningExamples,https://api.github.com/repos/NVIDIA/DeepLearningExamples,7615,2154,1075,122,452,79,TRUE
60626727,tensorlayer/TensorLayer,https://api.github.com/repos/tensorlayer/TensorLayer,6816,1524,3350,20,438,89,TRUE
252778465,NVIDIA-Merlin/NVTabular,https://api.github.com/repos/NVIDIA-Merlin/NVTabular,646,100,831,170,435,32,TRUE
18302786,IDSIA/sacred,https://api.github.com/repos/IDSIA/sacred,3716,346,1315,96,427,87,TRUE
125932201,OlafenwaMoses/ImageAI,https://api.github.com/repos/OlafenwaMoses/ImageAI,6818,1903,292,243,426,12,TRUE
222796322,twosixlabs/armory,https://api.github.com/repos/twosixlabs/armory,92,40,475,85,424,15,TRUE
68254498,cleverhans-lab/cleverhans,https://api.github.com/repos/cleverhans-lab/cleverhans,5399,1350,3201,21,422,110,TRUE
157936206,tensorflow/agents,https://api.github.com/repos/tensorflow/agents,2180,596,2008,107,419,102,TRUE
301903883,huawei-noah/SMARTS,https://api.github.com/repos/huawei-noah/SMARTS,517,103,330,202,417,11,TRUE
148566613,mlcommons/inference,https://api.github.com/repos/mlcommons/inference,573,331,1258,78,402,76,TRUE
235860204,microsoft/DeepSpeed,https://api.github.com/repos/microsoft/DeepSpeed,6270,717,872,374,399,90,TRUE
249615315,nnstreamer/nntrainer,https://api.github.com/repos/nnstreamer/nntrainer,64,32,1850,148,396,14,TRUE
104710554,MaybeShewill-CV/CRNN_Tensorflow,https://api.github.com/repos/MaybeShewill-CV/CRNN_Tensorflow,975,388,276,2,391,8,TRUE
198350484,microsoft/unilm,https://api.github.com/repos/microsoft/unilm,4512,890,543,158,388,29,TRUE
269365590,DeepRegNet/DeepReg,https://api.github.com/repos/DeepRegNet/DeepReg,358,56,2681,3,387,17,TRUE
277549433,akshitagupta15june/Face-X,https://api.github.com/repos/akshitagupta15june/Face-X,142,217,2764,28,386,109,TRUE
257688216,quic/aimet,https://api.github.com/repos/quic/aimet,841,160,623,110,384,18,TRUE
169442310,amaiya/ktrain,https://api.github.com/repos/amaiya/ktrain,947,234,2585,1,383,13,TRUE
119894375,kubeflow/examples,https://api.github.com/repos/kubeflow/examples,1112,605,497,1,377,79,TRUE
152386408,equinor/gordo,https://api.github.com/repos/equinor/gordo,23,19,797,25,375,16,TRUE
91797088,nuclio/nuclio,https://api.github.com/repos/nuclio/nuclio,4277,429,2001,107,374,68,TRUE
21950910,GoogleCloudPlatform/PerfKitBenchmarker,https://api.github.com/repos/GoogleCloudPlatform/PerfKitBenchmarker,1656,434,5678,211,370,113,TRUE
109252675,OpenNMT/OpenNMT-tf,https://api.github.com/repos/OpenNMT/OpenNMT-tf,1295,356,1964,23,370,20,TRUE
132186783,autonomio/talos,https://api.github.com/repos/autonomio/talos,1493,251,568,25,366,16,TRUE
55147386,tflearn/tflearn,https://api.github.com/repos/tflearn/tflearn,9577,2434,613,547,362,121,TRUE
5844399,dpinney/omf,https://api.github.com/repos/dpinney/omf,90,58,7195,0,357,37,TRUE
247562854,jina-ai/jina-hub,https://api.github.com/repos/jina-ai/jina-hub,95,54,2561,4,356,44,TRUE
79584587,yahoo/TensorFlowOnSpark,https://api.github.com/repos/yahoo/TensorFlowOnSpark,3756,965,629,6,354,20,TRUE
51317975,Netflix/vmaf,https://api.github.com/repos/Netflix/vmaf,2718,571,1774,77,353,70,TRUE
154747577,google-research/bert,https://api.github.com/repos/google-research/bert,30362,8522,111,751,340,26,TRUE
215890886,google-research/text-to-text-transfer-transformer,https://api.github.com/repos/google-research/text-to-text-transfer-transformer,3940,551,540,40,334,43,TRUE
