id,full_name,url,stars,forks,commit,openIssue,closedIssue,collaborators,last_activity
29749635,donnemartin/data-science-ipython-notebooks,https://api.github.com/repos/donnemartin/data-science-ipython-notebooks,22395,6958,543,10,21,12,2021-11-04T20:19:10Z
91284550,studioml/studio,https://api.github.com/repos/studioml/studio,374,52,2409,57,195,12,2021-09-14T22:54:36Z
130670507,TrickyGo/Dive-into-DL-TensorFlow2.0,https://api.github.com/repos/TrickyGo/Dive-into-DL-TensorFlow2.0,3405,793,367,19,35,12,2021-08-31T13:34:13Z
68256277,TeamHG-Memex/eli5,https://api.github.com/repos/TeamHG-Memex/eli5,2495,318,1198,137,111,12,2021-06-10T22:02:56Z
123977530,dmbee/seglearn,https://api.github.com/repos/dmbee/seglearn,485,52,268,5,23,12,2021-03-12T17:13:13Z
305901775,TL-System/plato,https://api.github.com/repos/TL-System/plato,133,34,866,4,31,11,2022-02-14T15:34:02Z
365999954,PaddlePaddle/PaddleSleeve,https://api.github.com/repos/PaddlePaddle/PaddleSleeve,38,11,165,1,3,11,2022-02-14T08:33:50Z
93413270,google/patents-public-data,https://api.github.com/repos/google/patents-public-data,320,122,110,17,14,11,2022-02-11T02:34:02Z
95491035,Hironsan/anago,https://api.github.com/repos/Hironsan/anago,1429,374,298,37,72,11,2022-02-11T02:30:49Z
202993277,david8862/keras-YOLOv3-model-set,https://api.github.com/repos/david8862/keras-YOLOv3-model-set,562,193,528,111,102,11,2022-02-10T16:44:48Z
158587515,comet-ml/comet-examples,https://api.github.com/repos/comet-ml/comet-examples,91,44,211,0,8,11,2022-02-10T07:13:23Z
110697473,modAL-python/modAL,https://api.github.com/repos/modAL-python/modAL,1582,236,648,65,54,11,2022-02-07T09:11:55Z
75482295,riga/law,https://api.github.com/repos/riga/law,46,18,1441,11,55,11,2022-02-02T17:45:08Z
70280616,clulab/releases,https://api.github.com/repos/clulab/releases,24,10,251,1,3,11,2022-01-15T20:05:14Z
